ASV,Taxon,BLAST,PercentMatch,1003_Wk1,1003_Wk2,1003_Wk3,1003_Wk4,1003_Wk5,1003_Wk6,1003_Wk7,1003_Wk8,1003_Wk9,1004_Wk1,1004_Wk2,1004_Wk3,1004_Wk4,1004_Wk5,1004_Wk6,1004_Wk7,1004_Wk8,1004_Wk9,1005_Wk1,1005_Wk2,1005_Wk3,1005_Wk4,1005_Wk5,1005_Wk6,1005_Wk7,1005_Wk8,1005_Wk9,Wk1_Control,Wk2_Control,Wk3_Control,Wk4_1003Parallel,Wk4_1004Parallel,Wk4_1005Parallel,Wk5_1003Parallel,Wk5_1004Parallel,Wk5_1005Parallel,Wk6_1003Parallel,Wk6_1004Parallel,Wk6_1005Parallel,Wk7_1003Parallel,Wk7_1004Parallel,Wk7_1005Parallel,Wk8_1003Parallel,Wk8_1004Parallel,Wk8_1005Parallel,Wk9_1003Parallel,Wk9_1004Parallel
373cf56bf02b9f1e431f37cebfa6bb5c,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis; s__laeta,Pholis sp.,100,108924,0,0,0,0,0,0,49,0,236,171,81,0,0,0,0,0,0,0,0,0,167,112,151,0,0,0,46,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23724856414b1c535c6cf4b6fcfc272e,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis,Pholis sp.,99.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9920e720cdc992c406e02aa639061ce6,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis,Pholis sp.,99.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28c62c4a3e6358366e325b8b176832c3,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis,Pholis sp.,100,0,0,0,0,0,0,0,0,3224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
027c4980217ec54fff854c1588f05def,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Pholidae; g__Pholis,Pholis sp.,99.4,0,0,0,0,0,0,0,0,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23777ed6508ca72dd2549bd9ec93275d,k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae,Pleuronectidae,100,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e63583e6427382d723dbc8ee26f05e60,k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae,Pleuronectidae,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8377854474338cf60b17f3172f6e33e4,k__Metazoa; p__Chordata; c__Actinopteri; o__Gadiformes; f__Gadidae; g__Pollachius; s__pollachius,Pollachius virens,100,0,0,0,0,0,0,0,0,9578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0ee2bec099a05d8d4609d2e9cfb61324,k__Metazoa; p__Chordata; c__Actinopteri; o__Pleuronectiformes; f__Pleuronectidae; g__Pseudopleuronectes,Pseudopleuronectes americanus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3349,0,0,0,8615,0,0,0,0,0
5cc9c634c441079aca6cf9bdfe61b13f,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Gasterosteidae; g__Pungitius,Pungitius pungitius,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4ef0db793d324235da34de826d006177,k__Metazoa; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Salvelinus,Salmo salar,99.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fc4aa16810635452d278a21b350bbc5a,k__Metazoa; p__Chordata; c__Actinopteri; o__Salmoniformes; f__Salmonidae; g__Salvelinus,Salmo salar,100,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79c5bf8e719046b98ea4b9639d500374,k__Metazoa; p__Chordata; c__Actinopteri; o__Scombriformes; f__Scombridae; g__Rastrelliger,Scomber scombrus,100,49,64219,184,117,192841,234260,198,120,54737,298,102,198997,179683,96666,56246,81026,112446,84998,75,144,170,335163,177,89231,85,32474,126,73,77,30,150623,74,76177,100200,99670,42705,84382,46765,35978,4124,104535,37471,81405,82691,3455,33790,50586
ab75d69e8919838f7f5c299feebbc6c9,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Sebastidae; g__Sebastes,Sebastes spp.,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e38aeb7c0494fe9e8c3ad33c1d6381c7,k__Metazoa; p__Chordata; c__Actinopteri; o__Perciformes; f__Sebastidae; g__Sebastes,Sebastes spp.,100,0,0,0,0,0,0,0,0,0,0,31,108,0,125,50,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d49d5af0e3a68dd460877f6c4bd605ab,k__Metazoa; p__Chordata; c__Actinopteri; o__Labriformes; f__Labridae; g__Tautogolabrus; s__adspersus,Tautogolabrus adspersus,100,90,48430,106272,305809,90608,94869,96,60,44393,63,48,69655,52138,30518,53831,37963,32678,75223,51,141,95,51379,186,295098,140580,33170,128,15,58,15,37,19,99996,41084,25310,91188,101,39710,72319,55,134893,236,15038,53763,1741,75179,129545
60dc096e851d915be39f04538d1da981,k__Metazoa; p__Chordata; c__Actinopteri; o__Gadiformes; f__Phycidae; g__Urophycis,Urophycis chuss,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
