ASV	Phylum	Class	Order	Family	Genus	Species	Confidence	1003_Wk1	1003_Wk2	1003_Wk3	1003_Wk4	1003_Wk5	1003_Wk6	1003_Wk7	1003_Wk8	1003_Wk9	1004_Wk1	1004_Wk2	1004_Wk3	1004_Wk4	1004_Wk5	1004_Wk6	1004_Wk7	1004_Wk8	1004_Wk9	1005_Wk1	1005_Wk2	1005_Wk3	1005_Wk4	1005_Wk5	1005_Wk6	1005_Wk7	1005_Wk8	1005_Wk9	PCR_NEG	Wk1_Blank	Wk1_Control	Wk2_Control	Wk3_Blank	Wk3_Control	Wk4_1003Parallel	Wk4_1004Parallel	Wk4_1005Parallel	Wk4_Blank	Wk5_1003Parallel	Wk5_1004Parallel	Wk5_1005Parallel	Wk5_FieldBlank	Wk6_1003Parallel	Wk6_1004Parallel	Wk6_1005Parallel	Wk6_FieldBlank	Wk7_1003Parallel	Wk7_1004Parallel	Wk7_1005Parallel	Wk7_FieldBlank	Wk8_1003Parallel	Wk8_1004Parallel	Wk8_1005Parallel	Wk8_FieldBlank	Wk9_1003Parallel	Wk9_1004Parallel	Wk9_FieldBlank	XN_1	XN_2	XN_3
caba00a3b4252ef1350b9c03c66fea54	 p__Chordata	 Actinopteri	 Anguilliformes	 Anguillidae	 Anguilla	bicolor pacifica	0.992901918288604	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	3	0	0	0	18618	0	97	0	0	0	0	0	0	0	0	24652	0	318	0	0	0	0	0	0	0
b488a799cb78c275db3b62e0fa04e354	 p__Chordata	 Actinopteri	 Perciformes	 Gasterosteidae	 Gasterosteus		0.893458207503834	0	14	235	14	0	0	95	0	3	0	2	7	7	0	0	0	0	40	0	147	0	167	135	298	0	41876	0	0	9	0	6	0	0	0	0	0	45	75	27	0	67	85	88	0	40	77	0	26	33	60	29	33	3	33	0	0	0	0	0
f62291986e00e2fbad38d6d0349f29ce	 p__Chordata	 Actinopteri	 Gadiformes	 Gaidropsaridae	 Gaidropsarus		0.707364995239742	0	0	106	0	0	0	0	0	0	0	0	0	0	21977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8211	0	0	175	0	0	0	0	2	0	0	12594	301	0	0	0	0	0	0	0
a42d34d610321be33454794f85ce9a86	 p__Chordata	 Actinopteri	 Clupeiformes	 Clupeidae	 Alosa	sapidissima	0.987704097204598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37537	0	0	0	0	0
102728a2f4054d96242082d58b95dc7e	 p__Chordata	 Actinopteri	 Cyprinodontiformes	 Fundulidae	 Fundulus	heteroclitus	0.999983537440764	0	0	0	0	0	0	0	0	3064	0	0	0	0	0	0	0	0	14817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10985	0	0	10521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5ba8ac0932668789e379cc462b15ef3c	 p__Chordata	 Actinopteri	 Clupeiformes	 Clupeidae	 Alosa	sapidissima	0.926484895823145	0	0	0	0	3	0	0	0	0	0	0	0	36659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1027b3871ce96578bbc92cb92c9fc022	 p__Chordata	 Actinopteri	 Clupeiformes	 Clupeidae	 Alosa	sapidissima	0.994792257690311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e35a6258a3d2194be267ddb4ce7ceb7b	 p__Chordata	 Actinopteri					0.925210709083668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eb4f78546818a1491bbfa47579a6433e	 p__Chordata	 Actinopteri	 Labriformes	 Labridae	 Tautogolabrus	adspersus	0.989163097215382	0	0	0	0	0	0	0	0	0	0	0	0	19666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
60dc096e851d915be39f04538d1da981	 p__Chordata	 Actinopteri	 Gadiformes	 Phycidae	 Urophycis		0.999997865645249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
